sep=;
Change-Id=I135df2871523ed19fd62c84bca56d440368f5ea6; subject=net/mlx5e: Disbale SKPRIO<->UP mapping from sysfs; feature=mlx5_sysfs_ecn_mstdump; upstream_status=NA; general=;
Change-Id=Ic4478748e938bbd58b50f638b60c6ea273ee3e2f; subject=net/mlx5: Avoid possible free of command entry while timeout comp handler; feature=mlx5_core_bugs; upstream_status=accepted; general=upstream commit ID: 50b2412b7e78, tag: v5.9;
Change-Id=I3551f1151632214dd167212eb63d7e2d303ec9da; subject=net/mlx5: poll cmd EQ in case of command timeout; feature=mlx5_core_bugs; upstream_status=accepted; general=upstream commit ID: 1d5558b1f0de, tag: v5.9;
Change-Id=I392e32b7210b91b4da39189aed0dace3adf81504; subject=net/mlx5: Add retry mechanism to the command entry index allocation; feature=mlx5_core_bugs; upstream_status=accepted; general=upstream commit ID: 410bd754cd73, tag: v5.9;
Change-Id=Ifa6413bd59257e221564b0c557de5a73bc0b6b74; subject=fixup! net/mlx5: Avoid possible free of command entry while timeout comp handler; feature=mlx5_core_bugs; upstream_status=ignore; general=;
Change-Id=Ia74a80512b4b1663138c08a680aaefdd26f38b8f; subject=fixup! net/mlx5: Avoid possible free of command entry while timeout comp handler; feature=mlx5_core_bugs; upstream_status=ignore; general=;
Change-Id=Iacef278b27ed3b7e7ba123e41fecdaca180a6b98; subject=fixup! net/mlx5: Avoid possible free of command entry while timeout comp handler; feature=mlx5_core_bugs; upstream_status=ignore; general=;
Change-Id=I1a2b2f43a3a88c58a02ca838856e4016ce8d88f4; subject=net/mlx5: Fix timestamp format of pps out event with real time mode; feature=cyc2time_offload; upstream_status=ignore; general=;
Change-Id=Id2d9f8156e75d7a8ffdb84d398569c84f51b6e56; subject=net/mlx5: Add ts_cqe_to_dest_cqn related bits; feature=tx_port_ts; upstream_status=accepted; general=upstream commit ID: 59d2ae1db89f, tag: v5.11-rc1;
Change-Id=I5ede79078b654b88650f67fe46e198fe921a2ef6; subject=net/mlx5e: Allow SQ outside of channel context; feature=tx_port_ts; upstream_status=accepted; general=upstream commit ID: 4ad40d8ee3cb, tag: v5.11-rc1;
Change-Id=I7c647e1d64f53009863bcaecbaada55ea12a26c5; subject=net/mlx5e: Change skb fifo push/pop API to be used without SQ; feature=tx_port_ts; upstream_status=accepted; general=upstream commit ID: 0b676aaecc25, tag: v5.11-rc1;
Change-Id=I0fe9049c5b703d2c259fc73e9b5a40e486bd6baa; subject=net/mlx5e: Split SW group counters update function; feature=tx_port_ts; upstream_status=accepted; general=upstream commit ID: 1a7f51240dfb, tag: v5.11-rc1;
Change-Id=Iebd5c0facc995b8fe14a2cfd0fedcc545cee1f28; subject=net/mlx5e: Move MLX5E_RX_ERR_CQE macro; feature=tx_port_ts; upstream_status=accepted; general=upstream commit ID: cecaa6a7d576, tag: v5.11-rc1;
Change-Id=I14b1a062887b97a37fb8f3783961f69506afe4f2; subject=net/mlx5e: Add TX PTP port object support; feature=tx_port_ts; upstream_status=accepted; general=upstream commit ID: 145e5637d941, tag: v5.11-rc1;
Change-Id=I21b2ec116f8ff020405483e1ba1f6183727e864f; subject=net/mlx5e: Add TX port timestamp support; feature=tx_port_ts; upstream_status=accepted; general=upstream commit ID: 1880bc4e4a96, tag: v5.11-rc1;
Change-Id=Iab330673fe99eb11f978b6473453f937b89f5273; subject=net/mlx5: Add support for NPPS with real time mode; feature=npps; upstream_status=in_progress; general=;
Change-Id=I08340d8d7a6015f4ea39d944d2003857679d16f1; subject=net/mlx5: Fix wrong address reclaim when command interface is down; feature=mlx5_eeh_cmd_time_out; upstream_status=accepted; general=upstream commit ID: 1d2bb5ad89f4, tag: v5.10-rc7;
Change-Id=I39683c225974c9583eabeecf2a273c2a44f5cafc; subject=net/mlx5e: Align tx port TS code with net-next-mlx5; feature=tx_port_ts; upstream_status=in_progress; general=;
Change-Id=Id0078b2a097f305d5dc682a6577c9f021114c089; subject=net/mlx5e: Fix several TX port TS related bugs; feature=tx_port_ts; upstream_status=in_progress; general=;
Change-Id=I27e96aa42249d5c22bc2d1ea79c9a9487c26e460; subject=net/mlx5e: Align tx port ts with net-next-mlx5; feature=tx_port_ts; upstream_status=in_progress; general=;
Change-Id=I2cd6823197669d28e934926552eeb362dd8a26e1; subject=net/mlx5e: Change TX select queue decision for PTP SQ; feature=tx_port_ts; upstream_status=in_progress; general=;
Change-Id=I4b26d9edea74ef652751051e25a1bd96020cb768; subject=net/mlx5: Fix handling of entry refcount when command is not issued to FW; feature=mlx5_core_bugs; upstream_status=ignore; general=;
Change-Id=Ica154f13da42c5f4386d0c781ee6b2a5c0c22870; subject=net/mlx5e: Fix skb PTP parsing for EtherType ETH_P_1588; feature=tx_port_ts; upstream_status=in_progress; general=;
Change-Id=I5af0c8d6c64eb31cb2c085e1c1dff794f5d58362; subject=net/mlx5e: Use ptp_classify_raw() as last resort to check EtherType; feature=tx_port_ts; upstream_status=NA; general=;
Change-Id=I804cd446e1bc473186f4bb00e34bbb1d3d01eb61; subject=net/mlx5: Add register layout to support real-time time-stamp; feature=cyc2time_offload; upstream_status=accepted; general=upstream commit ID: 9f9d102cf49d, tag: v5.12-rc1;
