sep=;
Change-Id=I9fd9accf4d19afe2a30b8e6a4bf2d2c1761c5a7f; subject=net/mlx5: FPGA, fix compilation warnings in sdk.c; feature=fpga; upstream_status=ignore; general=;
Change-Id=I9bf0015049c34e324dc60f9909aaf3805e62ffc1; subject=net/mlx5: DR, Remove unneeded vlan check from L2 builder; feature=sw_steering; upstream_status=accepted; general=upstream commit ID: e6422d1da048, tag: v5.10-rc1;
Change-Id=I44a4fed1c3613f04d5ea0bbe1a2c21963b69f474; subject=net/mlx5: DR, Remove unneeded local variable; feature=sw_steering; upstream_status=accepted; general=upstream commit ID: 92b4b88531e5, tag: v5.10-rc1;
Change-Id=I1098d8e0c1e263628392fa81002cf218c034defe; subject=net/mlx5: DR, Rename builders HW specific names; feature=sw_steering; upstream_status=accepted; general=upstream commit ID: de1facaf56b6, tag: v5.11-rc1;
Change-Id=I85335576e3a80f9645329c8db1fabc0b83871f1d; subject=net/mlx5: DR, Rename HW specific checks from matcher; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Ib688134d34d8355eb415b2b2e3ab9b83446943c9; subject=net/mlx5: DR, Move HW STEv0 match logic; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Ief15ed730f20c585baebd2319d144ff3a2f09b16; subject=net/mlx5: DR, Merge similar DR STE SET macros; feature=sw_steering; upstream_status=accepted; general=upstream commit ID: 467790985d2d, tag: v5.12-rc1;
Change-Id=I3c9631fef7bd661f73ffd5429c5c33cfce19c9c4; subject=net/mlx5: DR, Move STEv0 look up types from mlx5_ifc_dr header; feature=sw_steering; upstream_status=accepted; general=upstream commit ID: dd2d3c8d206e, tag: v5.12-rc1;
Change-Id=Idda54f8b4261030a4ef5cea6c68b445e84c9e4e7; subject=net/mlx5: DR, Modify ICMP STE builder style; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I0f9d3ccc3fed886308f62618d6783f3331551b37; subject=net/mlx5: DR, Add match STEv1 structs to dr_ifc; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I0c3cc6b33d14181750533aa2f230210606d658fa; subject=net/mlx5: DR, Add HW STEv1 match logic; feature=sw_steering; upstream_status=accepted; general=upstream commit ID: 10b694186410, tag: v5.12-rc1;
Change-Id=I4d1335b4eaec0122354d99a82f61384e4e71df2d; subject=net/mlx5: DR, Move action apply logic to dr_ste; feature=sw_steering; upstream_status=accepted; general=upstream commit ID: 64c7894218b9, tag: v5.12-rc1;
Change-Id=Id4afb51b25fc74b61255623f62d86f0a63fd580e; subject=net/mlx5: DR, Move STEv0 setters and getters; feature=sw_steering; upstream_status=accepted; general=upstream commit ID: 6b93b400aa88, tag: v5.12-rc1;
Change-Id=I1303186fee853b4c44574b08d06c1365c49a764b; subject=net/mlx5: DR, Add ste format STEv1 structs to ifc_dr; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Ibc870f192e5945557951b621bb361faeca822def; subject=net/mlx5: DR, Add STEv1 setters and getters; feature=sw_steering; upstream_status=accepted; general=upstream commit ID: a6098129c781, tag: v5.12-rc1;
Change-Id=Id70c4197f1d9ea82bdcc271c163691670dd0c76d; subject=net/mlx5: DR, Move STEv0 action apply logic; feature=sw_steering; upstream_status=accepted; general=upstream commit ID: ad17dc8cf910, tag: v5.12-rc1;
Change-Id=I521a5e406a11bdf910ab748ebb6659551a56465e; subject=net/mlx5: Add HW STEv1 action structs to ifc; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I5f52cca0287c6a7f161509e2f22f9ae22028a30d; subject=net/mlx5: DR, Add STEv1 action apply logic; feature=sw_steering; upstream_status=accepted; general=upstream commit ID: 4e856c5db9b4, tag: v5.12-rc1;
Change-Id=I9402f48a72469d30fd94a81117c2b4ab036d1fad; subject=net/mlx5: DR, Move STEv0 modify header logic; feature=sw_steering; upstream_status=accepted; general=upstream commit ID: 4781df92f4da, tag: v5.12-rc1;
Change-Id=Iac6e119e7fa36445e0b524b61fa1fb4352853fa4; subject=net/mlx5: DR, Add STEv1 modify header logic; feature=sw_steering; upstream_status=accepted; general=upstream commit ID: c349b4137cfd, tag: v5.12-rc1;
Change-Id=I010d868c3892382bf5ed31628221b038fe147de6; subject=net/mlx5: DR, Use the right size when writing partial STE into HW; feature=sw_steering; upstream_status=accepted; general=upstream commit ID: f06d496985f4, tag: v5.12-rc1;
Change-Id=I8ebd80348ef1d3dc0d9773f4a48a99b848df8119; subject=net/mlx5: DR, Use HW specific logic API when writing STE; feature=sw_steering; upstream_status=accepted; general=upstream commit ID: 4fe45e1d31ef, tag: v5.12-rc1;
Change-Id=I322584d52b228f412132cb55643f52e1d87d2946; subject=net/mlx5: DR, Copy all 64B whenever replacing STE in the head of miss-list; feature=sw_steering; upstream_status=accepted; general=upstream commit ID: 8fdac12acf32, tag: v5.12-rc1;
Change-Id=Ic7a2bad3aeb3968b3b71f74b6c0d16fbdd817891; subject=net/mlx5: DR, Add support for SW steering dump STEv1; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I6ee7026f755c43c29117845b337fd3b872dff200; subject=net/mlx5: DR, Csum recalculation W/A is not needed for Connect-X6; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=If57a2610796e40e128910bf41ec4ee625f3744e1; subject=net/mlx5: DR, Allow SW steering for sw_owner_v2 devices; feature=sw_steering; upstream_status=accepted; general=upstream commit ID: 64f45c0fc4c7, tag: v5.12-rc1;
Change-Id=I7dffde18caf23baf9646763fa43626be4671c031; subject=net/mlx5: DR, Check sw_owner_v2 support for SW steering; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I6cd29011cf6ef3e6dedf840c77c64af2853a8fe6; subject=net/mlx5: DR, Reword comment describing TTL workaround; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Id18535ad80fda50a49d6e39abfffc7c48c19461d; subject=net/mlx5: DR, Fix STEv1 source_eswitch_owner_vhca_id support; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I319dd9aafa6eb5dfe3641e3ab3400d6fe72ffd59; subject=net/mlx5: DR, Fix STEv0 source_eswitch_owner_vhca_id support; feature=sw_steering; upstream_status=accepted; general=upstream commit ID: 7863c912e8a0, tag: v5.12-rc1;
Change-Id=Ib0e108e89c7bb2db9eca20a74cfa10ccdb8ad042; subject=net/mlx5: DR, replace uint8_t with kernel-style u8; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Ib5bdd8e85bfb8a8bc679a3205737a8c53bf44676; subject=net/mlx5: DR, Fix error flow in dr_postsend_icm_data; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I81044fb9f62453c58051bd389ff89fc324f811a3; subject=net/mlx5: DR, Remove unused member of action struct; feature=sw_steering; upstream_status=accepted; general=upstream commit ID: 77662e75e009, tag: v5.11-rc1;
Change-Id=I691a7226875986324a5ddbe1614c0a70e52fc4d9; subject=net/mlx5: DR, Fix an argument in dr_rdma_segments; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I8c66939f1be2070e201b2500b1b78d28f9dd9997; subject=net/mlx5: Add mlx5_ifc bits for header modify arguments; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Iab69866842d69db738ff40cd2cd35c6f6fc07d77; subject=net/mlx5: Add mlx5_ifc opcode modifiers for header-modify argument; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I9a5554835fd8346e35e0a9fc829f1a781ba32526; subject=net/mlx5: Add mlx5_ifc bits for HEADER_MODIFY_ARGUMENT general object; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I1e88d26409b4dc42f7e45f33e1a3166c355e61d8; subject=net/mlx5: Add new WQE for updating flow-table; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I3de202097951f53c7de27015dd8a4b3093b769fe; subject=net/mlx5: DR, Prepare sending new WQE type; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Ie39dab58fd350065c61f17b9e5f6fc431fc8fa00; subject=net/mlx5: DR, Add modify-header-pattern ICM pool; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I9ba9eb4edc65e600222a4b5f8ecaff19d6bad4b0; subject=net/mlx5: DR, Add cache for modify_header pattern; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I540aa059b22252671d4574288e48991423b24b76; subject=net/mlx5: DR, Split chunk allocation to HW-dependent ways; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I0a73f03bc9f11702c52793983517ca77460e87ef; subject=net/mlx5: DR, Check for modify_header_argument device capabilities; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I9602db316e210c67847daa59672b1a1e13467832; subject=net/mlx5: DR, Add create/destroy for modify-header-argument general object; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I8dd01a443f8b53aa7ceb65db82cc711c92462072; subject=net/mlx5: DR, Add modify_header_arg pool mechanism; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I7d193c2bdfa9403d0cf06b659a174f9fc0dada76; subject=net/mlx5: DR, Add support for writing modify-header argument; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I7b2b055b320a85666eabdb0d41723c05d585a01c; subject=net/mlx5: DR, STEv1 - enable action object to write and store arguments; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I4d5653f0189c721c55ba063e849128a072a55640; subject=net/mlx5: DR, Add modify-header-argument pointer to actions attributes; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Idb6be4d9e2eccb07df5d73739667ac16fecc48ed; subject=net/mlx5: DR, STEv1 - Use accelerated modify list; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I2dbefc5ddb426a980131222c6fdde7609aba5ac6; subject=net/mlx5: DR, STEv1 - Support decap RX L3 action; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I31d4212a0dec9867a9d7138983313ba5ef261ed4; subject=net/mlx5: DR, STEv1 - Support action with up to 32 operations; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I3159b5f72636833c279ff78efa2713aa31ccd6a5; subject=net/mlx5: DR, Enable STEv1 modify header SW Steering on supported HW; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I55c2a5169ed1371860fd43fb4610822163332409; subject=net/mlx5: DR, Removed unused variable member of arg pool; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I2f9e091d62b239b3d7d15fcfec39275ae5d73b54; subject=net/mlx5: DR, Fix enacap_tx calculation; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Icdda6695e791a98fefc49c9f337a73d479853e74; subject=net/mlx5: DR, Initialize send_info struct, clean flags; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I6970272bc65e882850ab959a99cf1c40ff41b4a3; subject=net/mlx5: DR, SQ/RQ in doorbell is 16 bits - fix the mask; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I469d2cbe698d460bb356c775da96dae81198c920; subject=net/mlx5: DR, Increase tx_head only if writing into the buffer; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I56351e436c203630f0f54b9dd111f335f16b84a9; subject=net/mlx5: DR, Use pool variable for mutex instead of buddy; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Ic80128816bba3d92ade1eadd8791d087ed6e0e40; subject=net/mlx5: DR, Remove unused action type; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I815ce8aa31ad3913aa56272b93e1beb61982be2b; subject=net/mlx5: DR, Add support for flow sampler offload; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I31253caf5791cfbaba1b5d8fa2d86353aa9e69e7; subject=net/mlx5: Compare sampler flow destination ID; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=If0137f571d13e5eb551db823571be2bdc18d33f9; subject=net/mlx5: DR, Create multi-destination flow table with level less than 64; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I364cb6c630872edb962fb273fe151aa69d9e55d7; subject=net/mlx5: DR, Refactor dr_ste_set_flex_parser; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I9cd55e411cab81671e4b53fe17dfddb6364db59e; subject=net/mlx5: DR, Fixed typo in STE v0; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I34c61be5cfbbe98962ceb162e33137346e303642; subject=net/mlx5: E-Switch, remove duplicated error messages; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I04a3846229aac013faf62ed1552dc58376017924; subject=net/mlx5: DR, Remove unneded rx_decap_l3 function for STEv1; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Ib47d4c77cd6ca152844a8e6745c0e11870f93a8a; subject=net/mlx5: Added general HCA caps 2; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I4c93e8a05765e0370574790264ba58abae411818; subject=net/mlx5: Added new reformat context type: INSERT_HEADER; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Id82c5a064e9f7db975b84e0f6fa1fbafbde697e9; subject=net/mlx5: DR, Added support for INSERT_HEADER reformat type; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Ie9b9f25fac9d6395fa16d993e837f7eeb62f54aa; subject=net/mlx5: DR, Support EMD tag in modify header; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Ia52ea8fe81423afeb999686d7f40deecb70ca59f; subject=Metadata; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I5865041f9f8d64d03f78fb787cb2e2d7f4c11d57; subject=net/mlx5: DR, Enable fast teardown when device is in switchdev; feature=sw_steering; upstream_status=NA; general=;
Change-Id=I883588a3df510e527b54dcc89aaf1036e58c6d45; subject=Backports; feature=backports; upstream_status=ignore; general=;
