sep=;
Change-Id=Ia9489030f9608d92cd65581b0eeb143fe595be16; subject=net/mlx5: Use num_vfs from PCI core; feature=sriov_sysfs; upstream_status=NA; general=;
Change-Id=I04ed85aa9a04d51cb2cc6e4d4304b052648e7516; subject=net/mlx5: Check if SR-IOV already enabled or not; feature=mlx5_core_bugs_in_review; upstream_status=NA; general=;
Change-Id=Ie4e15574dd7300ea4fb34cc7333e01df7f341bcd; subject=net/mlx5: E-switch, Fix ignorance of length of output struct; feature=gen_ifc; upstream_status=in_progress; general=;
Change-Id=Id91f4ccc7fc67c164196cc2d59032b9d2d070feb; subject=net/mlx5: E-Switch, Add SF vport, vport-rep support; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I83077fbc8494fb895598f04dc525c28cb8a2329e; subject=net/mlx5: E-switch, Disable QoS if enabling eswitch fails; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I964f7fa100fd7d6c8c75d80c85bb5484c2905a67; subject=net/mlx5: Introduce SF table framework; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Iee90459e99c1ef912a61e353635e5e6b3a46aee4; subject=net/mlx5: Introduce SF life cycle APIs to allocate/free; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Ibf871b5d091df9447445ef94eac5730a09f73ae6; subject=net/mlx5: E-Switch, Enable/disable SF's vport during SF life cycle; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I21d799622240d5364bceffb47c14229aa7c48946; subject=net/mlx5: compat API for querying roce enabled or not; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I43e0ac7eb174e688d76c0bc0535756cd48e237f8; subject=net/mlx5: Add load/unload routines for SF driver binding; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Ief079707997860b82d582b333737e64caa3118d4; subject=net/mlx5: Implement dma ops and params for mediated device; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Ief03cfad464c4aa817c55791003c622ff8654058; subject=net/mlx5: Add mdev driver to bind to mdev devices; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I06d01bffa99113faab1f579994450f34330bcec6; subject=net/mlx5: Add query for mac address; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Ie18ad79cd7d6aacf7ceee064f443c5c795d96942; subject=net/mlx5: Implement mac address setting for SF vport; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I6e0df14a3225d69ceaf1ce25829de22ef0312b35; subject=net/mlx5: Correctly add query for mac address; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Iadefd69f9dfd76e4c844779d9a636b36f2cf51e1; subject=net/mlx5: Expose rep netdevice name for the mdev representor; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I9cf09e2a98eaaff06db65bf679a2ed32524bd3d7; subject=net/mlx5: Consider device object of mlx5_core_dev instead of PCI dev; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I4f74d1f26c9db3560365bf2deb40b2d0ae746a9e; subject=net/mlx5: Support modifying max_sfs; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I5f8b50687e92509b1d97ca4c10df509ef9d44e08; subject=net/mlx5: Fix mdev create - devlink deadlock; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I15728bb2d177a4126d918528dd00819326f1d39f; subject=net/mlx5: Print mac address with leading zero; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I555917f642783bcafd17c27976fbd67f6b476236; subject=net/mlx5: Avoid sysfs duplicate registration calltrace for non PCI device; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I78434b2ac1e6f6705830b031e521bb6c6c923544; subject=net/mlx5e: Do not create physical port specific files for SF; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Ib3ae9acdc89aa64157ae36918edc61ca60890c92; subject=net/mlx5: Limit maximum number of completion EQs to 4 for SF; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Ib8f3aa80e11279366efe7c55313e8232abcece16; subject=net;/mlx5: Disable command cache for SFs; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I6df32e1c2a775a8a1aedf64ad3a2139f30ed7acc; subject=net/mlx5e: Support SF eswitch representor; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I537fde2b35a203aa8f74ab943d198f3ed0ff0fbb; subject=net/mlx5: Fix missing num_sf vports; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Ib8e75e63709f1802078247b245d90a4a2be26dfa; subject=net/mlx5: Share irqs between SFs and parent PCI device; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Idc543961c9cf9ebb8853b59608281d9cfb5a1b24; subject=net/mlx5: Support devlink reload for SF; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Id828e6e88d692f1e6c7818805a138d1c7590979f; subject=net/mlx5: Do not ignore rep load failure error; feature=uplink_rep_redesign; upstream_status=in_progress; general=;
Change-Id=Ia363707b64e7be3a58dce9d80bad7e9f25d2775c; subject=net/mlx5: E-Switch, Read updated max sfs value from device; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Ifb55926183b3ad0c7048db4adce7fa3958e1d535; subject=net/mlx5: Fix eswitch vport calculation; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I81e2b180e293d1a2e5b62fb5a548fe88ff8bc065; subject=net/mlx5: Make API mlx5_core_is_ecpf accept const pointer; feature=mlx5_core_bugs; upstream_status=accepted; general=upstream commit ID: 3b1e58aa832e, tag: v5.11-rc1;
Change-Id=I0fa2cdfcddf7f499d9519edc7c39414d63548628; subject=net/mlx5: Rename peer_pf to host_pf; feature=mlx5_core_bugs; upstream_status=accepted; general=upstream commit ID: 8a90f2fc6782, tag: v5.11-rc1;
Change-Id=I5551cf67d37c5f0aa64767cedb4fb70c67e70100; subject=net/mlx5: Enable host PF HCA after eswitch is initialized; feature=mlx5_core_bugs; upstream_status=accepted; general=upstream commit ID: 5bef709d76a2, tag: v5.11-rc1;
Change-Id=I12986e7cd4b613fbdda2d98f038bc4a8a4167d37; subject=RDMA/mlx5: Fix devlink deadlock on net namespace deletion; feature=mlx5_ib_bugs; upstream_status=accepted; general=tag: v5.10-rc2;
Change-Id=I72c3c38425283bc604bd8cd6b4d40d7254e34ba4; subject=net/mlx5e: Set PCI device for only uplink representors; feature=mlx5_asap_bugs_in_review; upstream_status=NA; general=;
Change-Id=Id82e894b7f42f8389e14ced903b394fac7eda95c; subject=net/mlx5: E-switch, Avoid extack error log for disabled vport; feature=rebase; upstream_status=accepted; general=tag: 5.10-rc7;
Change-Id=I70b0cf2ab3ec784e7ad5d5289a39a4667cb80c0d; subject=IB/cm: Use core provided port iterator; feature=ib_core_bugs_in_review; upstream_status=in_progress; general=;
Change-Id=I6e0c1723e0b36cdc9793c52cd7f71e9a9589d130; subject=net/mlx5: E-switch, Add helper to check egress ACL need; feature=rebase; upstream_status=ignore; general=;
Change-Id=Ic8bcc819ebbc09ed679fd3b3359b387b1a7affd5; subject=net/mlx5: E-switch, Use helper function to load unload representor; feature=rebase; upstream_status=ignore; general=;
Change-Id=I231e0e565abd46aa4bf14fb0cc4e1c026965b7f3; subject=net/mlx5: Use dma device access helper; feature=rebase; upstream_status=ignore; general=;
Change-Id=Ic6300251cae15c86494dbc03d399197672e3c90e; subject=RDMA/mlx5: Use PCI device for dma mappings; feature=rebase; upstream_status=ignore; general=;
Change-Id=Ic6668ccde904197966169d99066ca49981210fd6; subject=net/mlx5: Update the hardware interface definition for vhca state; feature=rebase; upstream_status=ignore; general=;
Change-Id=Ie81a88af3f3cdfb6023678397a251c372a05de6f; subject=IB/mlx5: Fix error unwinding when set_has_smi_cap fails; feature=rebase; upstream_status=ignore; general=;
Change-Id=Ifd01395eee4cdb46bbbfcb8c58eb17863cdacbd2; subject=net/mlx5e: E-switch, Fix rate calculation for overflow; feature=rebase; upstream_status=ignore; general=;
Change-Id=Iad153fdc0c13c620f47003276c5e0c40227b1270; subject=net/mlx5: SF Enable user to configure EQ params; feature=mlx5_sfs; upstream_status=NA; general=;
Change-Id=I92f510503d22957b920e6e95a645ec2fd248e9f8; subject=net/mlx5: Pack mlx5_rl_entry structure; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Ie10a43bcc7bfd849ed3180aded05e37d10ac2e03; subject=net/mlx5: SF disable flow counters on user request; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I04fb209aad8ce701f2ea54b952383abafbe3415b; subject=BACKPORTS: BACKPORT fs_counters.c; feature=backports; upstream_status=ignore; general=;
Change-Id=Ib7d1ce5bbd841c101b5dd7a0989c7a6d93aa4d07; subject=net/mlx5: E-switch, perform lag cleanup when eswith stop fails; feature=mlx5_sfs; upstream_status=NA; general=;
Change-Id=I31d5d2fc615261f9d78c4f29737546b5cc98477b; subject=IB/mlx5: Fix error unwinding when set_has_smi_cap fails; feature=rebase; upstream_status=accepted; general=tag: v5.11-rc6;
Change-Id=I590ae5bc6bf98a2711ff5f8263acf6ecc2dc3171; subject=IB/mlx5: Return appropriate error code instead of ENOMEM; feature=rebase; upstream_status=accepted; general=tag: v5.11-rc6;
Change-Id=I67b3105859b1dd92499c45d51bfe926014d78c16; subject=net/mlx5e: Updated tunnel offloads capability; feature=mlx5_en_bugs; upstream_status=in_progress; general=;
Change-Id=I03ed032e5083b283e02fe6d884e02ae2b012fb24; subject=RDMA/rdma_cm: Skip device which doesn't support CM; feature=ib_core_bugs; upstream_status=in_progress; general=;
Change-Id=I1e85edea51d56fb6f724b91a77a19c56df43acdb; subject=BACKPORTS: backport cma.c; feature=backports; upstream_status=ignore; general=;
