sep=;
Change-Id=I29522156546593d99cc22bb78dd92ceb535d4f76; subject=IB/core: Add new SRQ type IB_EXP_SRQT_NVMF; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I4c93db580fb7d64ff7ee41ec63a84e7e1b46881d; subject=nvmet-rdma: introduce nvmet_rdma_init_st_pool helper function; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I1e9728279dcb3bff61374b73603d1dd84bdc1977; subject=nvmet-rdma: check P2P static staging buffer; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ia0d6003367166c98c02e99b5b05e86c16530f475; subject=nvmet-rdma: replace 1MB calculation with SZ_1M macro; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I4abca2b06deafbbc351b56c6f3e6a679ef0eab6a; subject=net/mlx5: Add missing entries for new xrq/nvmf_offload commands; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I146ca3c0fc9a6ba166493a2b398ebd75523b547f; subject=nvmet-rdma: update offload module params variable names; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I1770d71f5d97b4af97e068e2694d5a0179311209; subject=nvme: add new sysfs entry for number of p2p queues; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I5d4cfb59629a9b07ddd3f8d83e587e10726c4c33; subject=net/mlx5: Add new cap bits for NVMEoF target offload; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I679f24735608e84bd85eac9f50ab94dc4aa79208; subject=IB/mlx5: publish log_max_backend_controller_per_xrq bits; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I94592f530cb3129be886330caf1ad550b4294cce; subject=nvmet-rdma: set offload values according to HCA caps; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Iaa9f5222960a0cf6ec523f56fe33c7aebaf24549; subject=nvme: dedicate maximum HW queues for P2P transactions; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I509e5df401a1080015c5179eaab4e94285e00e08; subject=nvmet: add peer_to_peer_sqe_inline_size query for transport ops; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I870844b8054c3b2fed39cfb39980ef0595e7d32c; subject=nvmet: set sqe_inline_size per ctrl; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ia99b46f63e4845bfd2b4ac03dc53547c34c49644; subject=nvmet-rdma: implement peer_to_peer_sqe_inline_size; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ib53d36ae6fcd18fa6eba5f9c17f8969e9d1f1859; subject=nvmet-rdma: set cmd_size in XRQ correctly; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I4aafcda8d0b664d3b723d9a4b7f0f2ae67022460; subject=IB/core: Add XRQ QP event; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ia4af78e6bb1caab01844c32d573f2e49f38bdb34; subject=IB/mlx5: Add XRQ Error event; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I263a9c900ee38cde427127c32d69628911ed3166; subject=nvmet-rdma: Add new event for P2P solution; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ia5295b114510a9b1804268a2bc0db186c5af43be; subject=nvmet-rdma: drain offloaded QP too; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I42f060afd6d16cb67ddd55ed58a768c4743a546d; subject=IB/core: Add XRQ backend ctrl event; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Idade881ddc992ea78998f3bb23984e2404ec9863; subject=IB/core: Add event handling mechanism for ib_nvmf_ctrl; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I8ebcd78c8fe1122aca10f073bffc48ee4ca102e5; subject=net/mlx5: Add ctrl list to mlx5_core_srq; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ifb6a03aeee7b7beb2b47928b41b21cacd5f04a6e; subject=IB/mlx5: Add BACKEND_CONTROLLER_ERROR type to XRQ error event; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I15b601ec8be451184f69aea4bd9863ed5ee80480; subject=nvmet-rdma: Add association between xrq and be_ctrl; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I539819ea27d0013ef9d436b24c0b397565e3804a; subject=nvmet-rdma: Add support for backend_ctrl events; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Idf83e49f9e86595ae7359a187a199f5c9ca41553; subject=nvmet-rdma: Remove XRQ from list in destroy function; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I220d94b7c376e371c1edfcdc6a682ba8a8334053; subject=net/mlx5: Update max size for nvme_queue_size; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I7e72aa23b04a08e30125b9b46a77adafda4ebce1; subject=nvmet-rdma: Fix nvme_queue_size calculation; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ifca72270fd4b3d3a4c420eb40f518f6bd3e5f399; subject=nvmet-rdma: Add native p2p for POWER systems; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I423f65f3eef4ed70e9bbfc7577c6c9354241c987; subject=nvmet: add peer_to_peer_mdts query for transport ops; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ic58a8fd1ffe0cab2e67c30fe87837f549d52c6ab; subject=nvmet-rdma: implement peer_to_peer_mdts; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I0ac61da9d34cab21145b68ef673e78630b0d309c; subject=nvmet: set mdts according to ctrl ops; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I99b877443a849f8251045fc1ec290d0e0bde8cdb; subject=nvmet-rdma: add support for multiple pages in dynamic staging buffer; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I3543e862b6cf6e9c2e2af6c28a274c12745e1cd3; subject=nvme-pci: Use cached value of ctrl capabilities for p2p queue; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=If5f9a34fc0e94e06682b9fce2176597845af9101; subject=nvme-pci: Don't cache BAR0 phys_addr; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I61734c88ac5afa2f5e481ab6285fb00812157098; subject=nvme-pci: Use PCI bus address for P2P DBR address calculation; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I0e409bc11dcb3e95333ef560e83861207872dac7; subject=nvmet-rdma: enforce minimal nvme queue depth; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I52bd10a0b32acb4a47fdc077339113cb39b228b7; subject=net/mlx5: Add XRQ Error event; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I7b18b7c70442f6c4b418ad7b77ee41c5882082e7; subject=net/mlx5: Handle BACKEND_CONTROLLER_ERROR type event; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I6d0a3ecfb04435f53f93992815c483607c7d025d; subject=net/mlx5: add new cap bits for cmd timeout for NVMEoF target offload; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I906222648f0abc5c1ac4bfd54f381dc063c7a001; subject=net/mlx5: add cmd timeout field for NVMF_BACKEND_CONTROLLER_CONTEXT; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I838416b949c026f92fa18f43357d81e93d8a7095; subject=IB/mlx5: publish NVMe-oF target offload log_{min/max}_cmd_timeout bits; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I8a3a6c0cc594020db0985cc2296d84208cd2f718; subject=IB/mlx5: set log_cmd_timeout_us value in create_be_ctrl cmd; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ia6ee0a0329e2e09fcea073d2353fbfea79b3ae7a; subject=net/mlx5: set log_cmd_timeout_us during CREATE_NVMF_BACKEND_CTRL; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I10914c12447306d295d6558fd407e7499b9c02d5; subject=nvmet-rdma: add support for cmd_timeout for offloaded target; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I38429f5e54bc1b6780f1fbd0a8777409f9aff66d; subject=net/mlx5: Add cmd_unknown_namespace_cnt to NVMe-oF target offload ctx; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ic12612afef49f5416a8c44e319d4d6da7a005e08; subject=IB/core: introduce ib_nvmf_srq_attr structure; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ia261ce2c37c05c5a58bfce60c91c042d78c0ddb3; subject=IB/mlx5: add support for querying SRQs with IB_EXP_SRQT_NVMF type; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Iacac79031220c0a8f4a44588af3103efcc1f784a; subject=nvmet-rdma: add support for offloaded subsys unknown cmds counter; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I8f744b6c559e116297136c063c3bae72bb851304; subject=nvmet: add new configfs entry for counting offload err cmds; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ibfec571fa41d39d2a0b42cee08ab26675b3f256a; subject=net/mlx5: Implement new PRM cmd for query NVMEoF offload namespace; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ieb19a4c09e4560f3055218d613b3a2ec4d016cdd; subject=IB/core: Introduce query_nvmf_ns command for NVMEoF target offload; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I2277d8e501061f928d5834e2c075aa60df36e8b1; subject=IB/mlx5: implement mlx5_ib_query_nvmf_ns for NVMe-oF offload; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I9dda1dfe0116245a047ed4c72847ecf37d0b2283; subject=nvmet-rdma: add support for offloaded ns cmds counters; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I255aaa71cff08db57a46635ad730427f7a04a456; subject=nvmet: add new configfs entries for counting offloaded ns cmds; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I3fa875a1dbcd9dc1ed4aed761be028b49232e0e5; subject=net/mlx5: Add nvmf related commands to mlx5_internal_err_ret_value; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I5558637510410f050393818805741ee563981f75; subject=net/mlx5: Add query_nvmf_namespace_context cmd to mlx5_command_str; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I07b1347a1b6ebc1c9f9bcf5fe39fa3855ff0301e; subject=nvmet-rdma: Add error flow for post_recv failures on XRQ; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I6195f979ec06f1a421991520df875d5aad2ac803; subject=nvmet-rdma: fix offload ctrl creation condition; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=I35eecbd42b58f8df7f14da93f7430c76625428b2; subject=IB/MLX5: Use ctrl_list to track nvmf backend controllers; feature=nvmf_offload; upstream_status=in_progress; general=;
Change-Id=Ie79412b0185fe060c380e54d917c5a92baaf4444; subject=nvme: Add initial GDS support; feature=gds; upstream_status=in_progress; general=;
Change-Id=Ie79412b0185fe060c380e54d917c5a92baaf1111; subject=nvme-rdma: Add initial GDS support; feature=gds; upstream_status=in_progress; general=;
Change-Id=Id8da893febaeab4b22efc8c8603be286c4d61230; subject=xprtrdma: Add initial GDS support; feature=gds; upstream_status=in_progress; general=;
Change-Id=I91d3b7d74e8edcbdaf81be2beb6615d61e33d0e8; subject=IB/isert: add module param to set sg_tablesize for IO cmd; feature=ib_isert_bugs; upstream_status=accepted; general=upstream commit ID: dae7a75f1f19, tag: v5.11-rc1;
