sep=;
Change-Id=Ic7fd22263f32b4b2b6842a43eaac6119729ccb29; subject=RDMA/core: Fix ordering of CQ pool destruction; feature=rebase; upstream_status=accepted; general=tag: v5.9;
Change-Id=I62e9df1a4346a67602b5f818add31259ee3814ff; subject=RDMA/ucma: Narrow file->mut in ucma_event_handler(); feature=mlx5_ib_bugs; upstream_status=accepted; general=upstream commit ID: 310ca1a7dcd1, tag: v5.10;
Change-Id=Ib4ccd5b63a83bcaec3175feb6514eaa33f6842cf; subject=RDMA/ucma: Rework how new connections are passed through event delivery; feature=mlx5_ib_bugs; upstream_status=accepted; general=upstream commit ID: a1d33b70dbbc, tag: v5.10;
Change-Id=I6586215e77669e81efad503bd57007081bb58bdc; subject=RDMA/ucma: Remove closing and the close_wq; feature=mlx5_ib_bugs; upstream_status=accepted; general=upstream commit ID: 657360d6c741, tag: v5.10;
Change-Id=I398d23a06f73b5a9cc43ba5b14094cdb6c0386a6; subject=RDMA/cma: Fix locking for the RDMA_CM_CONNECT state; feature=mlx5_ib_bugs; upstream_status=accepted; general=upstream commit ID: 2a7cec538169, tag: v5.10;
Change-Id=I95447390daa3c82757dbd1b7a193feda8c8d37ec; subject=RDMA/cma: Make the locking for automatic state transition more clear; feature=mlx5_ib_bugs; upstream_status=accepted; general=upstream commit ID: 732d41c545bb, tag: v5.10;
Change-Id=I73ccb5ef87a42bbfe1b10e64b426d4c5d1dd56ba; subject=RDMA/cma: Fix locking for the RDMA_CM_LISTEN state; feature=mlx5_ib_bugs; upstream_status=accepted; general=upstream commit ID: d490ee52f0a5, tag: v5.10;
Change-Id=I06326d0f64e821cf0c52f4edefc93fed009fedf7; subject=RDMA/cma: Remove cma_comp(); feature=mlx5_ib_bugs; upstream_status=accepted; general=upstream commit ID: 5cfbf9291e1d, tag: v5.10;
Change-Id=Ia1ae2044b6993cee230cadde74c86436d4c9ad56; subject=RDMA/cma: Combine cma_ndev_work with cma_work; feature=mlx5_ib_bugs; upstream_status=accepted; general=upstream commit ID: 7e85bcda8bfe, tag: v5.10;
Change-Id=I4698be826bbf032276bac14829e1e00d77fe9040; subject=RDMA/cma: Remove dead code for kernel rdmacm multicast; feature=mlx5_ib_bugs; upstream_status=accepted; general=upstream commit ID: 1bb5091def70, tag: v5.10;
Change-Id=Ie3eb883439ce6338733a06af42e5f6056314125a; subject=RDMA/cma: Consolidate the destruction of a cma_multicast in one place; feature=mlx5_ib_bugs; upstream_status=accepted; general=upstream commit ID: 3788d2997bc0, tag:v5.10;
Change-Id=I73fc3d457fb94664b079902acda0f89237374be8; subject=RDMA/cma: Fix use after free race in roce multicast join; feature=mlx5_ib_bugs; upstream_status=accepted; general=upstream commit ID: b5de0c60cc30, tag: v5.10;
Change-Id=Id56576281661b3328c650345eb46461905dc14ab; subject=RDMA/ucma: Rework ucma_migrate_id() to avoid races with destroy; feature=mlx5_ib_bugs; upstream_status=accepted; general=upstream commit ID: f5449e74802c, tag: v5.10;
Change-Id=I1e5947b05226879975cf13d54fd969cdb56f165f; subject=RDMA: Add rdma_connect_locked(); feature=mlx5_ib_bugs; upstream_status=accepted; general=upstream commit ID: 071ba4cc559d, tag: v5.10;
Change-Id=I5e17a751a11d5bdc15ed2de20ed4df03cfe29e7b; subject=RDMA/cma: Fix deadlock on &lock in rdma_cma_listen_on_all() error unwind; feature=mlx5_ib_bugs; upstream_status=accepted; general=upstream commit ID: dd37d2f59eb8, tag: v5.10;
Change-Id=I594bdfc455ad9f3577aff2110878f842ac2c58b7; subject=RDMA/ucma: Do not miss ctx destruction steps in some cases; feature=mlx5_ib_bugs; upstream_status=accepted; general=upstream commit ID: 8ae291cc95e4, tag: v5.11-rc4;
